nitrogen,phosphorus,potassium,ph,moisture,organic_matter,zinc,iron
72,45,88,6.8,38,3.2,1.2,4.5
68,42,84,6.7,36,3.0,1.1,4.3
75,48,90,6.9,40,3.4,1.3,4.7
70,44,86,6.8,37,3.1,1.2,4.4
65,40,80,6.6,34,2.9,1.0,4.1
78,50,92,7.0,42,3.5,1.4,4.9
73,46,89,6.8,39,3.3,1.2,4.6
69,43,85,6.7,35,3.0,1.1,4.2
80,52,94,7.1,44,3.6,1.5,5.0
71,45,87,6.8,38,3.2,1.2,4.5
66,41,82,6.6,33,2.8,1.0,4.0
77,49,91,6.9,41,3.4,1.3,4.8
74,47,90,6.9,40,3.3,1.3,4.7
63,39,78,6.5,31,2.7,0.9,3.9
82,54,96,7.2,45,3.8,1.6,5.2
72,45,88,6.8,38,3.2,1.2,4.5
